POL	D	T1	A1	B	A2	T2	A1n	Bn	A2n	PF	DF	Time	SD	Solvent	VOL	Hydration	Temperature	Source	D2	DF2	B2	B2n	PMW	DMW	DMW2	POLFRAC	D1FRAC	D2FRAC	POLNAME	DRUGNAME1	DRUGNAME2	PMR	MR1	MR2
A*-nPrOzi-A	testcompound	EtOx	EtOx	nPrOzi	MeOx	PipBoc	31	19	31	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8857.640426016	368.125988360001	0	0.0493847891768241	0.950615210823176	0	A*-nPrOzi-A	testcompound	None	1	19.2491499238655	0
A*-nPrOzi-A*	testcompound	EtOx	EtOx	nPrOzi	EtOx	PipBoc	28	18	29	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8235.104742056	368.125988360001	0	0.0529204839842978	0.947079516015702	0	A*-nPrOzi-A*	testcompound	None	1	17.8962746504116	0
A*-nBuOx-A	testcompound	EtOx	EtOx	nBuOx	MeOx	PipBoc	33	20	31	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	9182.92391806	368.125988360001	0	0.0477189257453025	0.952281074254698	0	A*-nBuOx-A	testcompound	None	1	19.9560459373594	0
A*-nBuOx-A*	testcompound	EtOx	EtOx	nBuOx	EtOx	PipBoc	34	20	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	9678.34423792	368.125988360001	0	0.0453871289866533	0.954612871013347	0	A*-nBuOx-A*	testcompound	None	1	21.0326780372926	0
A-BzOx-A-H	testcompound	MeOx	MeOx	BzOx	MeOx	PipBoc	39	20	41	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	10312.688285148	368.125988360001	0	0.0427145709916218	0.957285429008378	0	A-BzOx-A-H	testcompound	None	1	22.4112148801903	0
A-PhOx-A-H	testcompound	MeOx	MeOx	PhOx	MeOx	PipBoc	34	18	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8802.454602936	368.125988360001	0	0.0496790193801782	0.950320980619822	0	A-PhOx-A-H	testcompound	None	1	19.1292218018095	0
A-nBuOx-A	testcompound	MeOx	MeOx	nBuOx	MeOx	PipBoc	34	22	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8951.47946164	368.125988360001	0	0.0488923965126255	0.951107603487374	0	A-nBuOx-A	testcompound	None	1	19.4530780106426	0
A-PentOx-A	testcompound	MeOx	MeOx	PentOx	MeOx	PipBoc	34	21	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	9118.692748884	368.125988360001	0	0.0480389059430779	0.951961094056922	0	A-PentOx-A	testcompound	None	1	19.8164607492293	0
A-nPrOzi-A	testcompound	MeOx	MeOx	nPrOzi	MeOx	PipBoc	34	19	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	8570.13336934	368.125988360001	0	0.0509571056845767	0.949042894315423	0	A-nPrOzi-A	testcompound	None	1	18.6243484900806	0
A-nBuOzi-A	testcompound	MeOx	MeOx	nBuOzi	MeOx	PipBoc	34	21	35	10	8	0	NA	EtOH	NA	Diwater	55	NA	None	0	None	0	9118.692748884	368.125988360001	0	0.0480389059430779	0.951961094056922	0	A-nBuOzi-A	testcompound	None	1	19.8164607492293	0
