POL,D,T1,A1,B,A2,T2,A1n,Bn,A2n,PF,DF,Time,SD,Solvent,VOL,Hydration,Temperature,Source,D2,DF2,B2,B2n,PMW,DMW,DMW2,POLFRAC,D1FRAC,D2FRAC,POLNAME,DRUGNAME1,DRUGNAME2,PMR,MR1,MR2
A*-nPrOzi-A,XXX,EtOx,EtOx,nPrOzi,MeOx,PipBoc,31,19,31,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8857.640426016,GGG,JJJ,EEE,FFF,MMM,A*-nPrOzi-A,XXX,YYY,1,CCC,DDD
A*-nPrOzi-A*,XXX,EtOx,EtOx,nPrOzi,EtOx,PipBoc,28,18,29,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8235.104742056,GGG,JJJ,EEE,FFF,MMM,A*-nPrOzi-A*,XXX,YYY,1,CCC,DDD
A*-nBuOx-A,XXX,EtOx,EtOx,nBuOx,MeOx,PipBoc,33,20,31,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9182.92391806,GGG,JJJ,EEE,FFF,MMM,A*-nBuOx-A,XXX,YYY,1,CCC,DDD
A*-nBuOx-A*,XXX,EtOx,EtOx,nBuOx,EtOx,PipBoc,34,20,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9678.34423792,GGG,JJJ,EEE,FFF,MMM,A*-nBuOx-A*,XXX,YYY,1,CCC,DDD
A-BzOx-A-H,XXX,MeOx,MeOx,BzOx,MeOx,PipBoc,39,20,41,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,10312.688285148,GGG,JJJ,EEE,FFF,MMM,A-BzOx-A-H,XXX,YYY,1,CCC,DDD
A-PhOx-A-H,XXX,MeOx,MeOx,PhOx,MeOx,PipBoc,34,18,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8802.454602936,GGG,JJJ,EEE,FFF,MMM,A-PhOx-A-H,XXX,YYY,1,CCC,DDD
A-nBuOx-A,XXX,MeOx,MeOx,nBuOx,MeOx,PipBoc,34,22,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8951.47946164,GGG,JJJ,EEE,FFF,MMM,A-nBuOx-A,XXX,YYY,1,CCC,DDD
A-PentOx-A,XXX,MeOx,MeOx,PentOx,MeOx,PipBoc,34,21,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9118.692748884,GGG,JJJ,EEE,FFF,MMM,A-PentOx-A,XXX,YYY,1,CCC,DDD
A-nPrOzi-A,XXX,MeOx,MeOx,nPrOzi,MeOx,PipBoc,34,19,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8570.13336934,GGG,JJJ,EEE,FFF,MMM,A-nPrOzi-A,XXX,YYY,1,CCC,DDD
A-nBuOzi-A,XXX,MeOx,MeOx,nBuOzi,MeOx,PipBoc,34,21,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9118.692748884,GGG,JJJ,EEE,FFF,MMM,A-nBuOzi-A,XXX,YYY,1,CCC,DDD
A-PhenOx-A,XXX,MeOx,MeOx,PhenOx,MeOx,PipBoc,34,15,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8781.67191294,GGG,JJJ,EEE,FFF,MMM,A-PhenOx-A,XXX,YYY,1,CCC,DDD
A-BzOx-A-M,XXX,MeOx,MeOx,BzOx,MeOx,PipBoc,34,15,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8571.43716198,GGG,JJJ,EEE,FFF,MMM,A-BzOx-A-M,XXX,YYY,1,CCC,DDD
A-PhOx-A-M,XXX,MeOx,MeOx,PhOx,MeOx,PipBoc,34,15,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8361.20241102,GGG,JJJ,EEE,FFF,MMM,A-PhOx-A-M,XXX,YYY,1,CCC,DDD
A-PhenOzi-A,XXX,MeOx,MeOx,PhenOzi,MeOx,PipBoc,34,15,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8991.9066639,GGG,JJJ,EEE,FFF,MMM,A-PhenOzi-A,XXX,YYY,1,CCC,DDD
A-BzOzi-A,XXX,MeOx,MeOx,BzOzi,MeOx,PipBoc,34,15,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8781.67191294,GGG,JJJ,EEE,FFF,MMM,A-BzOzi-A,XXX,YYY,1,CCC,DDD
A-PhOzi-A,XXX,MeOx,MeOx,PhOzi,MeOx,PipBoc,34,15,35,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8571.43716198,GGG,JJJ,EEE,FFF,MMM,A-PhOzi-A,XXX,YYY,1,CCC,DDD
Px,XXX,MeOx,MeOx,nBuOx,MeOx,Pip,38,25,39,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9913.320435708,GGG,JJJ,EEE,FFF,MMM,Px,XXX,YYY,1,CCC,DDD
Py,XXX,MeOx,MeOx,nBuOx,MeOx,Pip,38,25,30,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9147.704710536,GGG,JJJ,EEE,FFF,MMM,Py,XXX,YYY,1,CCC,DDD
P3,XXX,MeOx,MeOx,nBuOx,MeOx,Pip,39,21,34,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,9064.585323676,GGG,JJJ,EEE,FFF,MMM,P3,XXX,YYY,1,CCC,DDD
P5,XXX,MeOx,MeOx,nBuOx,MeOx,Pip,46,26,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,10465.777869348,GGG,JJJ,EEE,FFF,MMM,P5,XXX,YYY,1,CCC,DDD
P1,XXX,MeOx,MeOx,nBuOx,MeOx,Pip,36,21,36,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8979.516909768,GGG,JJJ,EEE,FFF,MMM,P1,XXX,YYY,1,CCC,DDD
P6,XXX,MeOx,MeOx,nBuOx,MeOx,Pip,32,26,45,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,10040.435799808,GGG,JJJ,EEE,FFF,MMM,P6,XXX,YYY,1,CCC,DDD
P7,XXX,MeOx,MeOx,nNonOx,MeOx,Pip,33,12,37,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,8506.280808892,GGG,JJJ,EEE,FFF,MMM,P7,XXX,YYY,1,CCC,DDD
P2,XXX,MeOx,MeOx,nBuOx,MeOx,Pip,44,25,0,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,7106.062776744,GGG,JJJ,EEE,FFF,MMM,P2,XXX,YYY,1,CCC,DDD
P8,XXX,PgMeOx,MeOx,nBuOx,MeOx,Pip,33,13,34,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,BzOx,5,8366.750497608,GGG,JJJ,EEE,FFF,MMM,P8,XXX,YYY,1,CCC,DDD
P4,XXX,MeOx,MeOx,nBuOx,MeOx,Pip,43,26,38,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,10380.70945544,GGG,JJJ,EEE,FFF,MMM,P4,XXX,YYY,1,CCC,DDD
A-BuOx-BzOx-A-H,XXX,MeOx,MeOx,nBuOx,MeOx,PipBoc,30,10,32,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,BzOx,6,7797.2144793,GGG,JJJ,EEE,FFF,MMM,A-BuOx-BzOx-A-H,XXX,YYY,1,CCC,DDD
pMeOx,XXX,MeOx,MeOx,nBuOx,MeOx,PipBoc,32,0,0,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,3007.410136844,GGG,JJJ,EEE,FFF,MMM,pMeOx,XXX,YYY,1,CCC,DDD
pEtOx,XXX,EtOx,EtOx,nBuOx,EtOx,PipBoc,32,0,0,10,OOO,0,NA,EtOH,NA,Diwater,55,NA,YYY,WWW,None,0,3469.926588956,GGG,JJJ,EEE,FFF,MMM,pEtOx,XXX,YYY,1,CCC,DDD
